,CONGLOME,VIVIENDA,ID,P367,P368_TIEMPO,P368_HORAS,P368_DIAS,P369,P370_MESES,P370_NS,P371,P371_AGUA,P371_FORMULA,P371_LECHE_ENVASADA,P371_LECHE_VACA,P371_JUGO,P371_OTRO,P371_CALDOS,P371_NINGUNO
199,8327,68,5.0,1,1.0,,,2.0,8.0,,16,1,2,2,2,2,1,2,2
200,8330,15,6.0,1,1.0,,,2.0,15.0,,15,1,2,2,2,1,2,2,2
201,8332,8,99.0,1,2.0,4.0,,1.0,,,8,2,2,2,2,2,2,2,1
202,8335,42,7.0,1,1.0,,,2.0,1.0,,167,1,2,2,2,2,1,1,2
203,8335,42,8.0,1,1.0,,,2.0,1.0,,167,1,2,2,2,2,1,1,2
204,8342,37,7.0,1,1.0,,,1.0,,,16,1,2,2,2,2,1,2,2
205,8368,55,5.0,1,1.0,,,2.0,12.0,,16,1,2,2,2,2,1,2,2
206,8461,34,3.0,1,1.0,,,1.0,,,136,1,2,1,2,2,1,2,2
207,8478,52,4.0,1,3.0,,2.0,2.0,18.0,,12,1,1,2,2,2,2,2,2
208,8485,4,99.0,1,3.0,,1.0,1.0,,,16,1,2,2,2,2,1,2,2
209,8509,61,6.0,1,2.0,6.0,,2.0,9.0,,12457,1,1,2,1,1,2,1,2
210,8615,82,6.0,1,1.0,,,1.0,,,236,2,1,1,2,2,1,2,2
211,8615,93,6.0,1,2.0,3.0,,1.0,,,367,2,2,1,2,2,1,1,2
212,8686,27,4.0,1,1.0,,,1.0,,,136,1,2,1,2,2,1,2,2
213,8694,61,5.0,1,1.0,,,1.0,,,1367,1,2,1,2,2,1,1,2
214,8707,82,5.0,1,2.0,1.0,,1.0,,,147,1,2,2,1,2,2,1,2
215,8729,65,4.0,1,1.0,,,2.0,25.0,,1367,1,2,1,2,2,1,1,2
216,8729,67,6.0,1,1.0,,,1.0,,,1367,1,2,1,2,2,1,1,2
217,8756,64,7.0,1,3.0,,4.0,1.0,,,16,1,2,2,2,2,1,2,2
218,8757,23,5.0,1,1.0,,,2.0,9.0,,135,1,2,1,2,1,2,2,2
219,8793,47,5.0,1,2.0,7.0,,2.0,18.0,,135,1,2,1,2,1,2,2,2
220,8811,31,8.0,1,1.0,,,2.0,12.0,,136,1,2,1,2,2,1,2,2
221,8831,57,4.0,1,1.0,,,1.0,,,136,1,2,1,2,2,1,2,2
222,8852,84,4.0,1,3.0,,1.0,1.0,,,1256,1,1,2,2,1,1,2,2
223,8857,71,5.0,1,2.0,1.0,,2.0,14.0,,1356,1,2,1,2,1,1,2,2
224,8900,7,99.0,1,3.0,,3.0,1.0,,,1567,1,2,2,2,1,1,1,2
225,8900,95,8.0,1,3.0,,3.0,1.0,,,167,1,2,2,2,2,1,1,2
226,8913,96,5.0,1,3.0,,1.0,2.0,19.0,,1356,1,2,1,2,1,1,2,2
227,8918,91,7.0,1,1.0,,,2.0,12.0,,1357,1,2,1,2,1,2,1,2
